友誼賽,2020/5/3,林口,,,,,,,,,,,,,,,,,,
球隊/局數,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
Super8,2,0,0,0,1,0,1,,,,,,,,,,,,,
龍璽,2,0,0,0,0,0,1,,,,,,,,,,,,,
投手,背號,出局數,安打,全壘打,四壞,觸身,三振,暴投,失分,自責,守備;失誤,紀錄,,,,,,,,
林秉文,1,9,5,,2,,,1,2,2,,,,,,,,,,
劉萬嘉,3,6,1,,2,,,1,,,1;0,,,,,,,,,
邱冠融,73,3,,,2,,2,2,,,1;0,,,,,,,,,
林凌,00,3,2,,,,2,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
棒次,打者,背號,守位,守備;失誤,捕逸;被盜壘;阻殺,盜壘成功;失敗,得分,打點,1,2,3,4,5,6,7,8,9,10,11,12
1,苗又元,6,6;8,6;1,,,1,,3B,,K,F,,H,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,陳宥竣,7,5;4,1;0,,,,,K,,F,,,,,,,,,
2,洪清心,13,4,2;0,,,,,,,,,K,F,,,,,,
3,方威皓,21,2,,0;2;0,2;0,2,,H,,E,,BB,G,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,林凌,00,DH,,,1;0,,,BB,,HBP,,BB,,,,,,,
4,林秉文,1,DH,,,,1,,,,,,,,H,,,,,
5,蘇柏恩,23,3,1;0,,,,1,G,,G,,K,,F,,,,,
,,,,,,,,,,,,,,,,,,,,
6,劉萬嘉,3,4;1,2;0,,,,,K,,,K,,,H,,,,,
6,林宗毅,52,5,,,,,1,,,,,BB,,,,,,,
7,邱冠融,73,8;1,1;0,,2;0,,1,,K,,BB,H,,,,,,,
7,劉彧,12,9,,,,,,,,,,,,K,,,,,
8,郭東昇,27,7,2;1,,,,,,K,,K,K,,F,,,,,
,,,,,,,,,,,,,,,,,,,,
9,王柏鈞,9,9;8;4,1;0,,,,,,K,,BB,,K,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,4,3,,,,,,,,,,,,
,,,,(照片),,,,,,,,,,,,,,,,
